"speciesEN","Band.ID","n_detections","n_sites","shannon_entropy","effective_n_sites","pielou_evenness","tideCategory"
"Bar-tailed Godwit","7176824",10118,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394014",8,1,1.50816111763587,4.51841431774396,Inf,"All"
"Bar-tailed Godwit","7394017",52,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Bar-tailed Godwit","7394018",83,1,1.50816111763587,4.51841431774396,Inf,"All"
"Bar-tailed Godwit","7394019",110,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Bar-tailed Godwit","7394026",27302,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394027",38295,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394032",22844,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","8345053",33376,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Curlew Sandpiper","4281407",63392,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Curlew Sandpiper","4281408",29949,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Curlew Sandpiper","4281409",55217,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Curlew Sandpiper","4281410",62300,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Curlew Sandpiper","4281420",66102,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Eurasian Whimbrel","8345054",4149,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Eurasian Whimbrel","8345055",1829,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Far Eastern Curlew","10118806",72053,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Masked Lapwing","8295845",99,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pacific Golden-Plover","6318617",280693,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Pacific Golden-Plover","6318618",21253,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318619",55896,4,1.50816111763587,4.51841431774396,1.08790828263741,"All"
"Pacific Golden-Plover","6318620",152580,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Pacific Golden-Plover","6318621",69313,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318624",60456,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318625",3553,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pacific Golden-Plover","6318626",40889,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pacific Golden-Plover","6318627",81063,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318629",463615,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Pacific Golden-Plover","6318630",19639,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Pacific Golden-Plover","6318633",6258,4,1.50816111763587,4.51841431774396,1.08790828263741,"All"
"Pacific Golden-Plover","6318635",14633,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pacific Golden-Plover","6318799",11298,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pied Stilt","8295770",309519,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Pied Stilt","8295772",58935,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pied Stilt","8295773",6840,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Pied Stilt","8295774",106145,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pied Stilt","8295775",5739,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pied Stilt","8295776",396743,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Red-necked Avocet","8295778",13728,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Red-necked Avocet","8295780",44063,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Red-necked Avocet","8295781",52419,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Bar-tailed Godwit","7176824",998,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Bar-tailed Godwit","7394017",11,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Bar-tailed Godwit","7394026",5136,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Bar-tailed Godwit","7394027",5020,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Bar-tailed Godwit","7394032",269,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Bar-tailed Godwit","8345053",3969,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Curlew Sandpiper","4281407",7474,6,1.57533547097824,4.83236246358462,0.879211466736068,"Nocturnal_Low"
"Curlew Sandpiper","4281408",3224,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281409",5630,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281410",8466,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281420",8966,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Eurasian Whimbrel","8345054",775,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Eurasian Whimbrel","8345055",10,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Far Eastern Curlew","10118806",34509,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Masked Lapwing","8295845",20,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318617",39313,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318618",1949,4,1.57533547097824,4.83236246358462,1.13636433585839,"Nocturnal_Low"
"Pacific Golden-Plover","6318619",5423,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Pacific Golden-Plover","6318620",17683,4,1.57533547097824,4.83236246358462,1.13636433585839,"Nocturnal_Low"
"Pacific Golden-Plover","6318621",5317,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318624",2628,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318625",269,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318626",4591,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318627",7922,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318629",78908,6,1.57533547097824,4.83236246358462,0.879211466736068,"Nocturnal_Low"
"Pacific Golden-Plover","6318630",372,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318633",952,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318635",2574,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318799",535,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pied Stilt","8295770",69610,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Pied Stilt","8295772",23680,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pied Stilt","8295773",839,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pied Stilt","8295774",11523,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pied Stilt","8295775",805,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pied Stilt","8295776",61689,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Red-necked Avocet","8295778",20,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Red-necked Avocet","8295780",6099,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Red-necked Avocet","8295781",4389,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Bar-tailed Godwit","7176824",4442,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Bar-tailed Godwit","7394014",8,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Bar-tailed Godwit","7394026",9991,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Bar-tailed Godwit","7394027",16194,3,1.28969264778563,3.63167018232926,1.17392883830671,"Diurnal_High"
"Bar-tailed Godwit","7394032",17149,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Bar-tailed Godwit","8345053",10569,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Curlew Sandpiper","4281407",29648,5,1.28969264778563,3.63167018232926,0.801331096913894,"Diurnal_High"
"Curlew Sandpiper","4281408",14760,5,1.28969264778563,3.63167018232926,0.801331096913894,"Diurnal_High"
"Curlew Sandpiper","4281409",24636,4,1.28969264778563,3.63167018232926,0.930316593615639,"Diurnal_High"
"Curlew Sandpiper","4281410",27816,5,1.28969264778563,3.63167018232926,0.801331096913894,"Diurnal_High"
"Curlew Sandpiper","4281420",31329,6,1.28969264778563,3.63167018232926,0.719791171714172,"Diurnal_High"
"Eurasian Whimbrel","8345054",2812,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Eurasian Whimbrel","8345055",1636,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Far Eastern Curlew","10118806",12273,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Masked Lapwing","8295845",22,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Pacific Golden-Plover","6318617",126690,5,1.28969264778563,3.63167018232926,0.801331096913894,"Diurnal_High"
"Pacific Golden-Plover","6318618",6885,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pacific Golden-Plover","6318619",25982,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pacific Golden-Plover","6318620",69689,3,1.28969264778563,3.63167018232926,1.17392883830671,"Diurnal_High"
"Pacific Golden-Plover","6318621",26189,4,1.28969264778563,3.63167018232926,0.930316593615639,"Diurnal_High"
"Pacific Golden-Plover","6318624",26093,7,1.28969264778563,3.63167018232926,0.662770913863488,"Diurnal_High"
"Pacific Golden-Plover","6318625",113,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pacific Golden-Plover","6318626",19573,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pacific Golden-Plover","6318627",33036,6,1.28969264778563,3.63167018232926,0.719791171714172,"Diurnal_High"
"Pacific Golden-Plover","6318629",148913,6,1.28969264778563,3.63167018232926,0.719791171714172,"Diurnal_High"
"Pacific Golden-Plover","6318630",8315,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pacific Golden-Plover","6318633",2250,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Pacific Golden-Plover","6318635",4394,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Pacific Golden-Plover","6318799",2288,4,1.28969264778563,3.63167018232926,0.930316593615639,"Diurnal_High"
"Pied Stilt","8295770",67905,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pied Stilt","8295772",9065,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Pied Stilt","8295773",2601,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Pied Stilt","8295774",63082,5,1.28969264778563,3.63167018232926,0.801331096913894,"Diurnal_High"
"Pied Stilt","8295775",2390,1,1.28969264778563,3.63167018232926,Inf,"Diurnal_High"
"Pied Stilt","8295776",187885,2,1.28969264778563,3.63167018232926,1.86063318723128,"Diurnal_High"
"Red-necked Avocet","8295778",7136,3,1.28969264778563,3.63167018232926,1.17392883830671,"Diurnal_High"
"Red-necked Avocet","8295780",15905,4,1.28969264778563,3.63167018232926,0.930316593615639,"Diurnal_High"
"Red-necked Avocet","8295781",22714,4,1.28969264778563,3.63167018232926,0.930316593615639,"Diurnal_High"
"Bar-tailed Godwit","7176824",48,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Bar-tailed Godwit","7394017",41,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Bar-tailed Godwit","7394018",61,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Bar-tailed Godwit","7394019",37,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Bar-tailed Godwit","7394026",1360,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Bar-tailed Godwit","7394027",1067,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Bar-tailed Godwit","7394032",1217,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Bar-tailed Godwit","8345053",1324,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Curlew Sandpiper","4281407",21994,5,1.39109403118361,4.01924482772163,0.864335318831732,"Diurnal_Low"
"Curlew Sandpiper","4281408",10509,4,1.39109403118361,4.01924482772163,1.00346223009941,"Diurnal_Low"
"Curlew Sandpiper","4281409",20904,5,1.39109403118361,4.01924482772163,0.864335318831732,"Diurnal_Low"
"Curlew Sandpiper","4281410",21942,4,1.39109403118361,4.01924482772163,1.00346223009941,"Diurnal_Low"
"Curlew Sandpiper","4281420",21011,4,1.39109403118361,4.01924482772163,1.00346223009941,"Diurnal_Low"
"Eurasian Whimbrel","8345054",29,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Eurasian Whimbrel","8345055",183,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Far Eastern Curlew","10118806",16761,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Masked Lapwing","8295845",57,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pacific Golden-Plover","6318617",96527,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Pacific Golden-Plover","6318618",10203,5,1.39109403118361,4.01924482772163,0.864335318831732,"Diurnal_Low"
"Pacific Golden-Plover","6318619",22111,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pacific Golden-Plover","6318620",53230,4,1.39109403118361,4.01924482772163,1.00346223009941,"Diurnal_Low"
"Pacific Golden-Plover","6318621",30744,6,1.39109403118361,4.01924482772163,0.776384361335582,"Diurnal_Low"
"Pacific Golden-Plover","6318624",27315,7,1.39109403118361,4.01924482772163,0.714880916705709,"Diurnal_Low"
"Pacific Golden-Plover","6318625",2961,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Pacific Golden-Plover","6318626",15989,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Pacific Golden-Plover","6318627",35207,5,1.39109403118361,4.01924482772163,0.864335318831732,"Diurnal_Low"
"Pacific Golden-Plover","6318629",159094,6,1.39109403118361,4.01924482772163,0.776384361335582,"Diurnal_Low"
"Pacific Golden-Plover","6318630",10174,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Pacific Golden-Plover","6318633",2019,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Pacific Golden-Plover","6318635",4887,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pacific Golden-Plover","6318799",8371,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Pied Stilt","8295770",86146,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Pied Stilt","8295772",23652,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pied Stilt","8295773",1297,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pied Stilt","8295774",23572,4,1.39109403118361,4.01924482772163,1.00346223009941,"Diurnal_Low"
"Pied Stilt","8295775",1419,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Pied Stilt","8295776",87275,2,1.39109403118361,4.01924482772163,2.00692446019882,"Diurnal_Low"
"Red-necked Avocet","8295778",623,1,1.39109403118361,4.01924482772163,Inf,"Diurnal_Low"
"Red-necked Avocet","8295780",6587,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Red-necked Avocet","8295781",8894,3,1.39109403118361,4.01924482772163,1.26622835510977,"Diurnal_Low"
"Bar-tailed Godwit","7176824",4630,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Bar-tailed Godwit","7394018",22,1,1.74849844024191,5.74596828035649,Inf,"Nocturnal_High"
"Bar-tailed Godwit","7394019",73,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Bar-tailed Godwit","7394026",10815,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Bar-tailed Godwit","7394027",16014,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Bar-tailed Godwit","7394032",4209,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Bar-tailed Godwit","8345053",17514,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Curlew Sandpiper","4281407",4276,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Curlew Sandpiper","4281408",1456,4,1.74849844024191,5.74596828035649,1.26127501436955,"Nocturnal_High"
"Curlew Sandpiper","4281409",4047,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Curlew Sandpiper","4281410",4076,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Curlew Sandpiper","4281420",4796,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Eurasian Whimbrel","8345054",533,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Far Eastern Curlew","10118806",8510,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pacific Golden-Plover","6318617",18163,6,1.74849844024191,5.74596828035649,0.975855560007292,"Nocturnal_High"
"Pacific Golden-Plover","6318618",2216,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pacific Golden-Plover","6318619",2380,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Pacific Golden-Plover","6318620",11978,4,1.74849844024191,5.74596828035649,1.26127501436955,"Nocturnal_High"
"Pacific Golden-Plover","6318621",7063,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Pacific Golden-Plover","6318624",4420,7,1.74849844024191,5.74596828035649,0.898550450076413,"Nocturnal_High"
"Pacific Golden-Plover","6318625",210,3,1.74849844024191,5.74596828035649,1.59155186800403,"Nocturnal_High"
"Pacific Golden-Plover","6318626",736,4,1.74849844024191,5.74596828035649,1.26127501436955,"Nocturnal_High"
"Pacific Golden-Plover","6318627",4898,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pacific Golden-Plover","6318629",76700,6,1.74849844024191,5.74596828035649,0.975855560007292,"Nocturnal_High"
"Pacific Golden-Plover","6318630",778,1,1.74849844024191,5.74596828035649,Inf,"Nocturnal_High"
"Pacific Golden-Plover","6318633",1037,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pacific Golden-Plover","6318635",2778,1,1.74849844024191,5.74596828035649,Inf,"Nocturnal_High"
"Pacific Golden-Plover","6318799",104,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Pied Stilt","8295770",85858,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pied Stilt","8295772",2538,1,1.74849844024191,5.74596828035649,Inf,"Nocturnal_High"
"Pied Stilt","8295773",2103,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Pied Stilt","8295774",7968,4,1.74849844024191,5.74596828035649,1.26127501436955,"Nocturnal_High"
"Pied Stilt","8295775",1125,1,1.74849844024191,5.74596828035649,Inf,"Nocturnal_High"
"Pied Stilt","8295776",59894,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Red-necked Avocet","8295778",5949,2,1.74849844024191,5.74596828035649,2.52255002873909,"Nocturnal_High"
"Red-necked Avocet","8295780",15472,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
"Red-necked Avocet","8295781",16422,5,1.74849844024191,5.74596828035649,1.08640316394529,"Nocturnal_High"
